		
1950s	Adagietto	TRMMYWL128F92D1598, TRMDUMZ128F14A45A0, TRWWPRU128F92E18DF, TRWACRW12903CCB4B7, TRWPZLF12903CF0B10, TRGWUNG128F932C993, TRGUTEI128F429BFEE, TRGEEUG128F1466B3F, TRCRHGZ128F9339872, TRCQIQX128F149A145, TRROXJS128F934266A, TRBGENO12903CFD0F1, TRBZUJI12903CB734F, TRBULUV128F9315D75, TRFUNDH128F4251B2A, TRFJYTJ128F42780EB, TRQBLVM128F4233690, TRZONEY128F4293B06, TRIRAPC12903CD8CE6, TRIQJPY128F4280AB2, TRIITQH128F145E3FF, TRARTAC128F92FCFEA, TRAPRJA12903CAFA4B, TRAJBRT128F9303318, TRAKUWF128F92E18CF, TRNRIQL128F9326494, TRNTEZD128F424C86A, TRNDNMR12903CBB14E, TRPWSTN128F42334DB, TRTUVZI128F935683E, TRTLNJS128F1466B3A, TRTYXXC128F930E8E8, TRUGGJI128F92DC94D, TRUGBKO12903CCF906, TRUPGLQ12903CB3997, TRUTRBY128F92D2CC1, TRLSMKG12903D02129, TREWKUP128F92E3AC7, TREKIBI128F1498C0B, TRSBEZK128F422477F, TRSBEHO128F92FA3E2, TRSKATO12903D04428, TRVLLIE12903C95045, TRVVXFY128F42325A4, TRVOHWI128F92DC977, TRVOYNR12903CB4552, TROFMXF128F9311B6D, TROQGAJ12903CC9CCD, TROUXMU128F429C1F3, TROLRME128F933D42B, TRXGIEJ128F92DD266, TRXRAUP12903CB9E4A, TRXYJGL12903CEA4A2, TRKZEQI128F92DCE6F, TRKJJOA12903CBB105, TRYWKQB128F930E8D4, TRYCBXS128EF34DCF7, TRYIYDT128F92F9957, TRYXUKS128F932847A
1920s	Vivacissimo	TRMFIVP128F426F112, TRMUAFE128F424AE2D, TRCBGLB12903CF7668, TRFAFTK12903CC77B8, TRZHCLL128F427F87D, TRIVDOK128F427F8E9, TRTAEUJ128F426D6D2, TRTXYHZ128F4267AA9, TRUCDNQ12903CBD343, TRKCWCN128F933E6AD, TRKZJTP128F4280D04
1920s	Vivace	TRQNEOQ128F92FD48E, TRZKAOZ128F4280C36, TRIOMVJ128F9309AD1, TRNZQTU12903D0D5E5, TRUVHPI12903CB59AA, TRLITLF12903CE6FC2, TRLSCIF128F428AB35, TRVNEVU128F933E6A9, TRVOVTL128F933E6A1, TROOSYC128F4280D13, TRXBNOY128F930C8C8, TRKISFG128F92E3742
1920s	Andante	TRGBHIB128F427E183, TRZEFIX128F429FE58, TRIWTNK128F4267A9F, TRPSLPT128F4280360, TRTRZWN128F4285110, TRUOSVX12903CEC905, TRJMMKE12903C95289, TRVFJLH128F4236290, TRVVWXI128F92DDEE7, TRKWIWK128F426BB63
1920s	Adagio	TRFUSZS128F429F3C1
1920s	Moderato	TRMMLGQ128F427F900, TRMIESM128F427E0C0, TRMTOAK128F930C8D1, TRMUXQE128F426D9E7, TRMSWMG128F933E69D, TRWQZIM12903CECB86, TRWQJRX128F933EC13, TRWNJPR128F93322A9, TRWTEUU128F427E0BD, TRWYJSC128F4280D83, TRHCQTQ12903CE608A, TRHAIHX12903CE6FB6, TRHKTCY128F9309AEF, TRCBOWI12903CCC4A3, TRRHMRE12903CE73EE, TRRCAGX128F4240C14, TRRNYPY128F42801B1, TRBSAFI128F4249FBD, TRBOZBV128F4236286, TRFRQSW128F92EF94E, TRFLSMH12903CE7130, TRQMKDZ128F9309AE4, TRQASVD12903D12C66, TRQYSYF128F935F350, TRZWNLM12903CE9269, TRZRWYC128F92FCD17, TRAMOXH128F4259815, TRAJEBH12903CE73F4, TRPJNKI128F93401BE, TRTSWFU128F9312152, TRTVXLR128F423F8E8, TRTKLGM12903C96A25, TRLJGBI128F935F361, TRLOYYP128F428948F, TRJZSAD128F93333A7, TRJKPFS12903C971C3, TRVQNOO12903CEF3AA, TRVQNFB12903CEC8AA, TRDJRJJ128F427E129, TRDKWAY128F4280DA8, TROMKWX128F92F86E3, TROBGSW128F9306BF8, TROSFNQ12903CE6900, TRXWLFZ128F92D2B1A, TRXFZTZ128F9326045, TRXOHOD128F9306A56, TRKMGBF128F92E3A34, TRKCLJY128F422ABBD, TRKQXPL128F424ADCC, TRKUNOI128F429F3AF
1920s	Prestissimo	TRGXCUK12903CB6245, TRPWVXS128F4280DD3, TRSHCRH128F424ADD0, TRODGCA128F4251206, TRXOCNX128F92CA206
1920s	Allegretto	TRMJCFV12903D0DC48, TRWFLRJ12903D0D603, TRWUXIP128F9318404, TRWXLLW128F42BCDC3, TRWYSVK128F933EC0D, TRGIISJ12903CEC992, TRHYOOF12903CE46EB, TRCAMMU128F429F53E, TRCKPHG128F427DF00, TRRZHUE128F933E69F, TRRDLHN128F930B00A, TRBWPTA12903CA3ABB, TRBHUOU128F423625E, TRBRGVB128F4240C12, TRBFMCN128F423625D, TRBSEJX128F428859D, TRFUJIZ12903CFB154, TRFLOTW12903CDBE08, TRQENSJ128F4280CEB, TRZCMFI128F933E6A8, TRZCBEO128F4285118, TRZFMWS128F426C169, TRIJPWN128F4236299, TRACBWQ128F92F2B91, TRTMMEI128F4280D87, TRTRKSF12903CFEDD7, TRTIPKQ128F933E6A0, TRUEUUK128F92FD462, TRUDNZU12903CAF55B, TRLRZVE128F92FD4B5, TRECVRB128F428AB45, TRJWCBR128F9319884, TRJZSIG128F422A949, TRSGHLU128F421DF83, TRSBSEA12903CAB6D0, TRSQFHI128F933E6A7, TRSOTGL128F9309508, TRVMHDA128F421DC6B, TRVRUNB128F424C900, TRDJXRI12903D12C63, TRORTWK128F421DC6F, TROBLKO128F933E6A6, TROOEIN128F92E3A50, TRXCXQM128F934A6EC
1920s	Allegro	TRMCUFY12903CE6907, TRMXKQN12903CE6FB9, TRMYWCM128F92D88AD, TRWXAWU12903CE68F7, TRGEGFJ12903C971CE, TRHWUJK128F4267AA7, TRCWUOC128F93408E7, TRREOOE128F935ADFC, TRBLCCK12903CEC388, TRFECYI12903CB4B31, TRZFLTW128F426E881, TRIRAUG128F930A296, TRAGJGZ128F421EE19, TRAYUWU128F423F66D, TRNFVEL128F424ADF4, TRNNLCQ128F426E87E, TRNYOVP128F4280497, TRTMKWN128F4240C16, TRTQZFS12903CE6FB5, TRLWWMN128F92FD469, TRLFPBR128F422A943, TRLOZBM128F4280BF6, TREIFZE128F426AE2B, TREJDHY128F931CA7B, TREYFBC128F42BCDCA, TRJEWFJ128F429F3B8, TRJXTGU128F9359B68, TRSQOAZ12903D0DC58, TRSOTHY128F932C6C5, TRSYTRQ128F4240C0D, TRVICBU128F424ADCE, TRVVEUV128F424D41C, TRVKNTT12903CB1558, TRDWQCO128F427F2E7, TRDNZVS128F428AB36, TRXTZAK128F423626D, TRKOWEK128F4280D90, TRYVDMK128F426E87C, TRYXXDJ128F931215F
1920s	Adagietto	TRNXUVN12903C96A2A, TRPMNYG128F4236278, TROOIKH12903CC6109
